keys,en,es,fr,pt,pl,ru,ko,th,tr
BASIC_GAMEPLAY,"BASIC
GAMEPLAY","JUEGO
BÁSICO","RÉGLES
DE BASE","Gameplay
Básica","Podstawy
rozgrywki","ОСНОВНОЙ
ГЕЙМПЛЕЙ","기본
게임플레이","การเล่นเบื้องต้น","Basit
Oynanış"
SPECIAL_RULES,"SPECIAL
RULES","REGLAS
ESPECIALES","RÉGLES
SPÉCIALES","Regras
Especiais","Reguły
specjalne","ОСОБЫЕ
ПРАВИЛА","특별한
규칙","กฎพิเศษเพิ่มเติม","Özel
Kurallar"
BACK,BACK,ATRÁS,RETOUR,BACK,BACK,Назад,뒤로,กลับ,Geri
HOW_TO_PLAY_INSTRUCTIONS,"How to play Minesweeper Plus:

Click 'Basic Gameplay' to learn how Minesweeper is played.
Click 'Special Rules' to see how Minesweeper Plus differs from the classic game.
Click outside this window at any time to close it.","Cómo jugar a Minesweeper Plus:

Haz clic en 'Juego Básico' para aprender a jugar al Buscaminas.
Haz clic en 'Reglas Especiales' para ver cómo Buscaminas Plus difiere del juego clásico.
Haz clic fuera de esta ventana en cualquier momento para cerrarla.","Comment jouer à Minesweeper Plus:

Cliquez sur 'Jeu De Base' pour apprendre à jouer au Démineur.
Cliquez sur 'Règles Spéciales' pour apprendre comment Minesweeper Plus diffère du jeu classique.
Cliquez en dehors de ce menu pour le fermer.","Como jogar Campo Minado Plus:

Clique em ‘Gameplay Básica' para ver como Campo Minado e jogado
Clique em 'Regras Especiais' para ver as regras especiais que não tem no jogo clássico
Clique fora dessa janela qualquer momento pra fechá-lo","Jak grać w Minesweeper Plus:

Kliknij 'Podstawy rozgrywki', aby nauczyć się grania w Sapera.
Kliknij 'Reguły specjalne', aby dowiedzieć się, czym Minesweeper Plus różni się od klasycznej gry.
W dowolnym momencie kliknij poza tym oknem, aby je zamknąć.","Как играть в Сапёр Плюс: ,

Нажмите «Основной игровой процесс», чтобы узнать, как играть в «Сапёр».
Нажмите «Особые Правила», чтобы узнать, чем «Сапёр Плюс» отличается от классической игры.
Нажмите за пределами этого окна в любое время, чтобы закрыть его.","지뢰찾기 플러스를 하는 법

기본 게임플레이'를 클릭해서 지뢰찾기를 어떻게 하는지 배워보세요.
특별한 규칙'을 클릭해서 지뢰찾기 플러스와 기존 게임의 차이점을 확인하세요.
언제든지 이 창 밖을 클릭해서 닫으세요.","วิธีเล่นไมน์สวีปเปอร์ พลัส:
	
กดที่ 'การเล่นเบื้องต้น' เพื่อเรียนรู้เกี่ยวกับการเล่นไมน์สวีปเปอร์
กดที่ 'กฎพิเศษเพิ่มเติม' เพื่อทำความเข้าใจเกี่ยวกับการเล่นไมน์สวีปเปอร์ พลัส
กดนอกกรอบเพื่อปิด","Mayın tarlası Plus Nasıl Oynanır: 

Mayın Tarlası nasıl oynanır görmek için 'Basit Oynanış'a tıklayın. 
Mayın Tarlası Plus'ın klasik oyundan farkını görmek için 'Özel Kurallar'a tıklayın. 
Kapatmak için istediğiniz zaman bu pencerenin dışına tıklayabilirsiniz."
BASIC_GAMEPLAY_0,"Every game of Minesweeper starts with a grid like the example in the image. The objective of the game is to open every tile on the grid that does NOT contain a mine.","Cada partida de Buscaminas comienza con un tablero como el ejemplo de la imagen. El objetivo del juego es descubrir todas las casillas del tablero que NO contengan una mina.","Chaque jeu de Démineur commence avec une grille comme dans l'exemple ci-dessus. L'objectif du jeu est d'ouvrir toutes les cases dans la grille qui ne contient PAS de mine.","Todo jogo de Campo Minado começa com uma grade como no exemplo acima. O objetivo do jogo é abrir todos os quadradinhos da grade quais NÃO contém uma mina.","Każda partia Sapera zaczyna się na planszy jak ta na obrazku. Celem gry jest odkrycie wszystkich pól na planszy, które NIE zawierają miny.","Каждая игра в «Сапер» начинается с игрового поля, как показано на рисунке. Цель игры — открыть все плитки на поле, на которых НЕТ мины.","모든 지뢰찾기의 게임은 이 사진을 예시로 판에서 시작합니다. 이 게임의 목표는 지뢰가 있는 칸을 피해서 모든 칸을 여는 것입니다.","ทุกครั้งที่เกมเริ่มขึ้นจะเป็นตาราง อย่างเช่นแบบรูป เป้าหมายของเราคือต้องเปิดช่องทั้งหมดโดยห้ามโดนระเบิด","Her mayın tarlası resimdeki örnekte gördüğünüz gibi bir ızgarayla başlar. Oyunun amacı ızgarada mayınlı OLMAYAN her karoyu açmaktır."
BASIC_GAMEPLAY_1,"This number indicates how many mines are hidden on the grid.","Este número indica cuántas minas están ocultas en el tablero.","Ce nombre indique combien de mines sont cachés dans la grille.","Este número indica quantas minas estão escondidas em uma grade.","Ta liczba pokazuje, ile min kryje się na planszy.","Это число указывает, сколько мин спрятано на сетке.","이 숫자는 판에 얼마나 많은 지뢰가 숨겨져 있는지 나타냅니다.","เลขนี้จะระบุว่าระเบิดมีจำนวนเท่าไหร่ในเกม ๆ","Buradaki sayılar ızgarada kaç mayının gizli olduğunu gösterir."
BASIC_GAMEPLAY_2,"This number keeps track of the number of seconds that have elapsed from the start of the game to the end of the game.","Este número cuenta los segundos que pasaron del inicio al fin de la partida.","Ce nombre indique combien de secondes se sont écoulé depuis le début du jeu jusqu'à la fin du jeu.","Este número conta quantos segundos se passaram desde o início do jogo até o final do jogo.","Ta liczba odlicza sekundy, które upłynęły od początku do końca gry.","Это число отслеживает количество секунд, прошедших с начала игры до ее конца.","이 숫자는 게임의 처음부터 끝까지 경과한 초를 나타냅니다.","เลขข้างบนนี้บ่งบอกถึงเวลาที่ได้เริ่มเล่น โดยจะเริ่มจากเวลาที่เปิดช่องเเรกถึงเวลาที่เล่นเกมได้สำเร็จ","Buradaki sayılar oyunun başlangıcından bitişine kadar kaç saniye geçtiğini gösterir."
BASIC_GAMEPLAY_3,"Left-click on any tile to start the game. Left-clicking on a tile opens it and reveals what is underneath. Numbered tiles indicate how many mines are contained in the 8 adjacent tiles around the numbered tile. For example, a tile containing '1' has 1 mine adjacent to it, a tile containing '2' has 2 mines adjacent to it, etc. If a tile has nothing under it when opened, all tiles adjacent to that tile will be opened as well.","Haz clic izquierdo en cualquier casilla para comenzar el juego. Hacer clic izquierdo en una casilla la descubre y revela qué hay en ella. Las casillas numeradas indican cuántas minas se ocultan en las 8 casillas alrededor de las mismas. Por ejemplo, una casilla numerada '1' tiene 1 mina adyacente, una casilla numerada '2' tiene 2 minas adyacentes, etc. Si una casilla descubierta está vacía, las demás casillas a su alrededor también se descubrirán.","Faites un clique gauche sur n'importe case pour commencer. Un clique gauche sur une case l'ouvre et révèle ce qui est caché. Une case avec un chiffre indiquent combien de mines il y a alentour de cette case. Par exemple, une case ayant un '1' a une mine adjacente, une case ayant un '2' a 2 mines adjacentes, etc. Si une case n'a rien de caché au moment de l'ouvrir, toutes les cases adjacentes seront aussi ouvertes.","Clique em qualquer quadradinho para iniciar o jogo. Clicando em um quadradinho revela o que está embaixo dele. Quadradinhos com números indicam quantas minas estão nos 8 quadradinhos em volta daquele quadradinho. Por exemplo, um quadradinho com um '1' tem uma mina adjacente a ele, um quadradinho com um '2' tem duas minas adjacentes a ele, etc... Se não há nada embaixo de um quadradinho, todos os quadradinhos em volta desse serão revelados.","Kliknij lewym przyciskiem myszy na dowolnym polu, aby rozpocząć grę. Kliknięcie lewym przyciskiem myszy na polu odkrywa je i odsłania, co się pod nim kryje. Pola z numerkiem pokazują, ile min zawierają pola sąsiednie do pola z numerkiem. Na przykład pole zawierające ,1' sąsiaduje z jedną miną, pole zawierające ,2' sąsiaduje z dwiema minami, itd. Jeżeli pod odkrytym polem nie ma nic, wszystkie sąsiadujące pole również zostają odkryte.","Щёлкните левой кнопкой мыши по любой плитке, чтобы начать игру. Щёлкнув левой кнопкой мыши по плитке, вы откроете её и увидите, что находится под ней. Пронумерованные плитки указывают, сколько мин находится на соседних плитках вокруг неё. Например, плитка с цифрой «1» имеет одну мину рядом с ней, плитка с цифрой «2» — две мины рядом с ней и т. д. Если при открытии плитки под ней ничего нет, все соседние плитки также будут открыты.","어느 칸에서 좌클릭을 눌러 게임을 시작하세요. 칸에 좌클릭하면 칸이 열리고 그 아래에 뭐가 있는지 보여줍니다. 숫자가 쓰여있는 칸은 그 숫자가 쓰여있는 칸 주변에 얼마나 많은 지뢰가 있는지 보여줍니다. 예시로, '1'이 있는 칸은 그 주변에 1개의 지뢰가 있습니다. '2'가 있는 칸은 그 주변에 2개의 지뢰가 있습니다. 기타로 만약 칸을 열고 아래에 아무것도 없을 때, 그 칸 주변의 모든 칸도 열리게 됩니다.","คลิกซ้ายในช่องอะไรก็ได้ เพื่อเปิดช่องและเริ่มเกม ช่องที่มีเลขอยู่บ่งบอกถึงจำนวนระเบิดรอบ ๆ ช่องนั้น ยกตัวอย่างเช่น ช่องที่มีเลข 1 มีระเบิดรอบ ๆ มัน 1 ลูก ช่องที่มีเลข 2 มีระเบิดรอบ ๆ มัน 2 ลูก ฯลฯ ถ้าไม่มีเลขอยู่ในช่องนั้น ช่องอื่น ๆ ที่ติดกันจะเปิดร่วมด้วยเช่นกัน","Oyunu başlatmak için herhangi bir karoya sol tıklayın. Bir karoya tıklamak onu açar ve altında ne var onu gösterir. Üstünde sayı yazan karolar, onlarla temas eden 8 karo içerisinde kaç tane mayın var onu gösterir. Örneğin üstünde '1' bulunan bir karonun bitişiğinde 1 adet mayın bulunur, üstünde '2' bulunan bir karonun bitişiğinde 2 karo bulunur, vb. Eğer bitişiğinde hiç bir mayın bulunmayan bir karo açılırsa onun bitişiğinde olan bütün karolar da açılır."
BASIC_GAMEPLAY_4,"If you think you know a tile contains a mine, you can flag that tile by right-clicking it. Flagged tiles cannot be opened and are great for keeping track of where mines are. The number at the top-left of the screen will decrease for every flag you place. Be careful: you can also flag tiles that don't contain mines. Remove a flag from a tile by right-clicking it again.","Si crees saber que una casilla oculta una mina, puedes marcarla con una bandera haciendo clic derecho. Las casillas abanderadas no pueden descubrirse y son útiles para registrar dónde están las minas. El número arriba a la izquierda de la pantalla disminuirá con cada bandera que coloques. Cuidado: también puedes marcar una casilla que no contenga minas. Quita la bandera de una casilla haciéndole clic derecho otra vez.","Si vous pensez qu'une case a une mine cachée, vous pouvez la marquer d'un drapeau en faisant un clique droit. Les cases marquées ne peuvent pas être ouvertes et sont un bon repère pour garder les mines en vue. Le nombre en haut à gauche diminue à chaque drapeau placé. Par contre, vous pouvez aussi arquer des cases qui ne contiennent pas de mines. Retirer un drapeau en faisant un clique gauche sur ce drapeau.","Se você achar que tem uma mina embaixo de um quadradinho, você pode marcar esse quadradinho usando o botão direito do mouse. Quadradinhos marcados não podem ser revelados e é uma ótima maneira de saber onde estão as minas. O número no canto-superior-esquerdo irá diminuir a cada quadradinho que você marca. Mas cuidado: você também pode marcar quadradinhos que não contém minas. Você pode desmarcar quadradinhos usando o botão direito do mouse.","Jeśli uważasz, że dane pole zawiera minę, możesz je oznaczyć flagą, klikając na nie prawym przyciskiem myszy. Oznaczonych min nie można odkryć i łatwo na nie uważać. Każda postawiona flaga zmniejsza liczbę w lewym górnym rogu ekranu. Ostrożnie: można też stawiać flagi na polach bez min. Możesz usunąć flagę z pola klikając na nie ponownie prawym przyciskiem myszy.","Если вы уверены, что на плитке есть мина, вы можете отметить её, щёлкнув правой кнопкой мыши. Мины с флажками нельзя открыть, и они отлично подходят для отслеживания их местонахождения. Число в левом верхнем углу экрана уменьшается с каждым установленным флажком. Будьте внимательны: вы также можете отметить плитки, на которых нет мин. Чтобы снять флажок с плитки, снова щёлкните по ней правой кнопкой мыши.","만약 당신이 지뢰가 있다고 생각하는 칸이 있으면, 그 칸에 우클릭하여 깃발을 꽂을 수 있습니다. 깃발이 있는 지뢰는 열 수 없으며 어디에 지뢰가 있었는지 기록하기 좋습니다. 화면 왼쪽 위의 숫자는 매번 깃발을 꽂을 때 숫자가 내려갑니다. 조심하세요: 지뢰가 없는 칸도 깃발을 꽂을 수 있습니다. 칸에 있는 깃발을 제거하려면 그 칸에 우클릭을 다시 눌러주세요.","ถ้าคุณรู้ว่าช่องไหนมีระเบิด สามารถปักธงได้โดยการคลิกขวา ช่องที่ปักธงแล้วจะเปิดไม่ได้ เมื่อคุณปักธงจํานวนระเบิดตรงซ้ายบนจะลดลง แต่ระวังด้วย คุณก็สามารถปักธงจุดที่ไม่มีระเบิดได้ คลิกขวาบนธงเพื่อนำธงออกจากช่อง","Eğer bir karonun altında mayın olduğunu bildiğini düşünüyorsan, o karoyu sağ-tık ile işaretleyebilirsin. İşaretlenmiş karolar açılamaz ve mayınların nerede olduğunu takip etmek için harikadır. Sol üstteki sayılar her işaretlemende azalır. Dikkatli ol; mayınlı olmayan karoları da işaretleyebilirsin. Bir karodaki işaretlemeyi onun üstüne tekrar sağ tıklayarak geri al."
BASIC_GAMEPLAY_5,"Chording: Clicking on an opened numbered tile when it has the corresponding number of flags around it will open all of the unopened and unflagged tiles around it. Chording is useful for players who want to improve their minesweeping efficiency. Warning: doing this will also reveal any unflagged mines. Only use when you're certain you haven't made any flagging mistakes.","Despeje rápido: Hacer clic en una casilla numerada descubierta cuando tiene el número correspondiente de banderas a su alrededor descubrirá todas las demás casillas cubiertas y no marcadas a su alrededor. Esta técnica es útil para los jugadores que quieren mejorar su eficiencia en Buscaminas. Advertencia: esto también revelará minas no marcadas. Haz uso de esta técnica sólo después de asegurarte de que no has marcado nada mal.","Dégagement: En cliquant sur une case numérotée ouverte lorsqu'elle a le nombre correspondant de drapeaux alentour d'elle ouvrira toutes les cases fermées et sans drapeau à proximité. Le dégagement est utile pour les joueurs cherchant à améliorer leur efficacité. Attention: Cet action révèlera aussi les mines sans drapeau. Il est important de s'assurer de ne pas avoir fait d'erreur.","Chording: Clicando em um quadradinho com número revelado quando ele tem o número correspondente de quadradinhos marcados em volta dele irá abrir todos os quadradinhos não-revelados e não-marcados em volta dele. Chording é útil para jogadores que querem otimizar seus jogos de campo minado. Cuidado: usar chording pode revelar minas não-marcadas. Use somente quando tiver certeza que não há nenhum erro em suas marcações.","Akordowanie: Kliknięcie na okryte pole z numerkiem otoczone odpowiadającą liczbą flag odkryje wszystkie nieodkryte i nieoflagowane pola dookoła. Akordowanie jest przydatne dla graczy pragnących zwiększyć swoją wydajność. Uwaga: odsłonięte zostaną również wszystkie nieoznakowane miny. Używaj tego tylko wtedy, kiedy masz pewność, że wszystkie flagi zostały umieszczone poprawnie.","Отметка: Щелчок по открытой плитке с номером, когда вокруг неё есть соответствующий номер флага, откроет все неоткрытые и неотмеченные плитки вокруг неё. Отметка полезна для игроков, желающих повысить эффективность траления. Внимание: это также позволит обнаружить все неотмеченные мины. Используйте эту функцию только тогда, когда уверены, что не допустили ошибок при отметке.","화음: 숫자가 쓰인 칸 주변에 깃발이 있는 채로 그 숫자가 쓰여있는 칸을 클릭하면 그 칸 주변의 모든 열리지 않은 칸과 깃발이 없는 칸을 열 수 있습니다. 화음은 지뢰를 찾는 효율성을 기르고 싶은 플레이어에게 유용합니다. 경고: 이것을 쓰면 깃발이 없는 칸들도 열리게 됩니다. 오직 깃발 실수를 안 했을 것이라고 확신할 때 쓰세요.","เปิดรวม: เมื่อคลิกตรงช่องที่มีเลขสอดคล้องกับจำนวนธงที่ปักจะทำให้เปิดช่องบริเวณรอบๆ ช่องที่ว่างอยู่ การเปิดรวมนั้นมีประโยชน์ในการเพิ่มประสิทธิภาพเวลาเล่นไมน์สวีปเปอร์. คำเตือน: การเปิดรวมก็สามารถเปิดช่องระเบิดที่ไม่ได้ปักธงได้ ควรใช้เมื่อคุณแน่ใจแล้วว่าคุณไม่ได้ปักธงผิดจุด","Hızlı Açış: Yanında aynı sayıda işaretlenmiş karo varken numaralanmış bir karonun üstüne tıklamak, onun bitişiğinde olan açılmamış ve işaretlenmemiş her karoyu açar. Hızlı açış, mayın temizleme verimliliğini arttırmak isteyen oyuncular için kullanışlıdır. Uyarı: Bunu yapmak aynı zamanda işaretlenmemiş mayınları da açabilir. Sadece işaretleme hatası yapmadığınızdan emin olduğunuzda kullanın."
