keys,en,es,fr,pt,pl,ru,ko,th,tr
WINDOW,WINDOW,VENTANA,FENÊTRE,Janela,OKNO,ОКНА,창,หน้าต่าง,Pencere
VOLUME,VOLUME,VOLUMEN,VOLUME,Volume,GŁOŚNOŚCI,ЗВУКА,볼륨,ระดับเสียง,Ses
CONTROL,CONTROL,CONTROLES,COMMANDES,Controle,STEROWANIA,УПРАВЛЕНИЯ,조작,การควบคุม,Kontrol
GAMEPLAY,GAMEPLAY,JUEGO,JEU,Gameplay,ROZGRYWKI,ГЕЙМПЛЕЯ,게임플레이,การเล่น,Oynanış
LANGUAGE,LANGUAGE,LENGUA,LANGUE,LANGUAGE,JĘZYKA,ЯЗЫКА,LANGUAGE,ภาษา,LANGUAGE
OTHER,OTHER,OTROS,DIVERS,Outros,INNE,ПРОЧИЕ,기타,อื่น ๆ,Diğer
WINDOW_MODE,WINDOW MODE,MODO DE VENTANA,MODE DE FENÊTRE,Modo Janela,Tryb okna,Режим Окна,창 모드,ปรับหน้าต่าง,Pencere Modu
WINDOWED,WINDOWED,VENTANA,FENÊTRE,Janela,W okienku,Окно,창,แบ่ง,Pencere
FULLSCREEN,FULLSCREEN,PANTALLA,PLEIN ÉCRAN,Tela cheia,Pełen ekran,На Весь Экран,전체화면,เต็มจอ,Tam Ekran
STRETCH,STRETCH,ESTIRAMIENTO,ÉTIREMENT,Esticado,Rozciąganie,Растяжение,늘리기,ยืดจอ,Genişletme
ENABLED,ENABLED,SÍ,OUI,Ativado,Włączone,Включено,활성화,เปิด,Açık
DISABLED,DISABLED,NO,NON,Desativado,Wyłączone,Выключено,비활성화,ปิด,Kapalı
SCALE,SCALE,ESCALA,PIXELS,Tamanho,Skalowanie,Масштаб,크기,ขนาด,Büyüklük
FRACTION,FRACTION,FRACCIONARIA,FRACTION,Fração,Ułamkowe,Дробный,분수,เศษส่วน,Oransal
INTEGER,INTEGER,ENTERA,ENTIER,Inteiro,Całkowite,Целочисленный,정수,จำนวนเต็ม,Tam
ASPECT,ASPECT,RELACÍON DE ASPECTO,ASPECT,Aspecto,Proporcje,Разрешение,화면 비율,มุมมองทิศทาง,En-Boy
KEEP,KEEP,MANTENER,GARDER,Deixar,Zachowaj,Включить,유지,เปิด,Olsun
IGNORE,IGNORE,IGNORAR,IGNORER,Ignorar ,Ignoruj,Отключить,무시,ปิด,Olmasın
MASTER_VOLUME,MASTER VOLUME,GENERAL,GÉNÉRALE,Volume Principal,Głośność ogólna,Основная Громкость,전체 볼륨,เสียงหลัก,Ana
MUSIC_VOLUME,MUSIC VOLUME,MÚSICA,MUSIQUE,Volume da Música,Głośność muzyki,Музыка,음악 볼륨,เสียงดนตรี,Müzik
SFX_VOLUME,SFX VOLUME,EFECTOS DE SONIDO,EFFETS SONORES,Volume de Efeitos Sonoros,Głośność efektów,Звуковые Эффекты,효과음 볼륨,เสียงประกอบ,Ses Efekti
REVERSE_CONTROLS,REVERSE CONTROLS,CONTROLES INVERTIDOS,COMMANDES INVERSÉES,Inverter Controles,Odwrócone sterowanie,Обратное Управление,반대로 조작,สลับการควบคุม,Ters Kontroller
REVERSE_CONTROLS_CAPTION_FALSE,Left-click to open. Right-click to flag.,Click izquierdo para despejar. Click derecho para marcar.,Clique Gauche pour couvrir. Clique Droit pour Marquer.,Botão-esquerdo para revelar. Botão-direito para marcar.,Lewy przycisk myszy odkrywa. Prawy przycisk myszy stawia flagę.,ЛКМ - открыть. ПКМ - поставить флаг.,좌클릭으로 열고. 우클릭으로 깃발 꽂기,คลิกซ้ายเพื่อเปิด คลิกขวาเพื่อปักธง,Açmak için Sol-Tık. İşaretlemek için Sağ-Tık.
